timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1677266197470,9,GetListOfUser,200,OK,Thread Group 1-15,text,true,,1751,172,3,3,https://reqres.in/api/users?page=2,8,0,0
1677266197267,395,Register,200,OK,Thread Group 1-16,text,true,,689,253,2,2,https://reqres.in/api/register,395,0,28
1677266197662,18,Get,200,OK,Thread Group 1-16,text,true,,990,167,3,3,https://reqres.in/api/users/4,18,0,0
1677266197682,16,GetListOfUser,200,OK,Thread Group 1-16,text,true,,1757,172,3,3,https://reqres.in/api/users?page=2,16,0,0
1677266197466,385,Register,200,OK,Thread Group 1-17,text,true,,699,253,2,2,https://reqres.in/api/register,385,0,22
1677266197852,14,Get,200,OK,Thread Group 1-17,text,true,,996,167,3,3,https://reqres.in/api/users/4,14,0,0
1677266197868,12,GetListOfUser,200,OK,Thread Group 1-17,text,true,,1749,172,3,3,https://reqres.in/api/users?page=2,11,0,0
1677266197667,394,Register,200,OK,Thread Group 1-18,text,true,,693,253,2,2,https://reqres.in/api/register,394,0,24
1677266198061,15,Get,200,OK,Thread Group 1-18,text,true,,992,167,3,3,https://reqres.in/api/users/4,15,0,0
1677266198078,9,GetListOfUser,200,OK,Thread Group 1-18,text,true,,1747,172,3,3,https://reqres.in/api/users?page=2,9,0,0
1677266197867,383,Register,200,OK,Thread Group 1-19,text,true,,693,253,2,2,https://reqres.in/api/register,383,0,24
1677266198250,10,Get,200,OK,Thread Group 1-19,text,true,,988,167,2,2,https://reqres.in/api/users/4,10,0,0
1677266198262,10,GetListOfUser,200,OK,Thread Group 1-19,text,true,,1749,172,3,3,https://reqres.in/api/users?page=2,10,0,0
1677266198068,390,Register,200,OK,Thread Group 1-20,text,true,,695,253,2,2,https://reqres.in/api/register,390,0,25
1677266198459,14,Get,200,OK,Thread Group 1-20,text,true,,990,167,3,3,https://reqres.in/api/users/4,14,0,0
1677266198475,9,GetListOfUser,200,OK,Thread Group 1-20,text,true,,1753,172,3,3,https://reqres.in/api/users?page=2,9,0,0
1677266198268,381,Register,200,OK,Thread Group 1-21,text,true,,691,253,2,2,https://reqres.in/api/register,381,0,19
1677266198650,10,Get,200,OK,Thread Group 1-21,text,true,,992,167,2,2,https://reqres.in/api/users/4,10,0,0
1677266198662,12,GetListOfUser,200,OK,Thread Group 1-21,text,true,,1745,172,3,3,https://reqres.in/api/users?page=2,12,0,0
1677266198469,387,Register,200,OK,Thread Group 1-22,text,true,,689,253,2,2,https://reqres.in/api/register,387,0,25
1677266198856,10,Get,200,OK,Thread Group 1-22,text,true,,990,167,2,2,https://reqres.in/api/users/4,10,0,0
1677266198867,11,GetListOfUser,200,OK,Thread Group 1-22,text,true,,1747,172,3,3,https://reqres.in/api/users?page=2,11,0,0
1677266198666,387,Register,200,OK,Thread Group 1-23,text,true,,693,253,2,2,https://reqres.in/api/register,387,0,25
1677266199054,11,Get,200,OK,Thread Group 1-23,text,true,,988,167,2,2,https://reqres.in/api/users/4,11,0,0
1677266199067,14,GetListOfUser,200,OK,Thread Group 1-23,text,true,,1755,172,3,3,https://reqres.in/api/users?page=2,14,0,0
1677266198872,386,Register,200,OK,Thread Group 1-24,text,true,,687,253,2,2,https://reqres.in/api/register,386,0,26
1677266199259,12,Get,200,OK,Thread Group 1-24,text,true,,990,167,3,3,https://reqres.in/api/users/4,12,0,0
1677266199273,24,GetListOfUser,200,OK,Thread Group 1-24,text,true,,1755,172,3,3,https://reqres.in/api/users?page=2,24,0,0
1677266199068,381,Register,200,OK,Thread Group 1-25,text,true,,689,253,2,2,https://reqres.in/api/register,381,0,23
1677266199449,9,Get,200,OK,Thread Group 1-25,text,true,,990,167,2,2,https://reqres.in/api/users/4,9,0,0
1677266199460,11,GetListOfUser,200,OK,Thread Group 1-25,text,true,,1747,172,3,3,https://reqres.in/api/users?page=2,11,0,0
1677266199269,408,Register,200,OK,Thread Group 1-26,text,true,,691,253,3,3,https://reqres.in/api/register,408,0,41
1677266199678,13,Get,200,OK,Thread Group 1-26,text,true,,992,167,3,3,https://reqres.in/api/users/4,13,0,0
1677266199693,13,GetListOfUser,200,OK,Thread Group 1-26,text,true,,1745,172,3,3,https://reqres.in/api/users?page=2,12,0,0
1677266199468,388,Register,200,OK,Thread Group 1-27,text,true,,693,253,2,2,https://reqres.in/api/register,388,0,25
1677266199857,11,Get,200,OK,Thread Group 1-27,text,true,,984,167,3,3,https://reqres.in/api/users/4,11,0,0
1677266199870,11,GetListOfUser,200,OK,Thread Group 1-27,text,true,,1753,172,3,3,https://reqres.in/api/users?page=2,11,0,0
1677266199666,381,Register,200,OK,Thread Group 1-28,text,true,,695,253,2,2,https://reqres.in/api/register,380,0,23
1677266200047,10,Get,200,OK,Thread Group 1-28,text,true,,988,167,2,2,https://reqres.in/api/users/4,10,0,0
1677266200058,12,GetListOfUser,200,OK,Thread Group 1-28,text,true,,1749,172,2,2,https://reqres.in/api/users?page=2,12,0,0
1677266199869,381,Register,200,OK,Thread Group 1-29,text,true,,687,253,2,2,https://reqres.in/api/register,381,0,22
1677266200251,13,Get,200,OK,Thread Group 1-29,text,true,,988,167,2,2,https://reqres.in/api/users/4,13,0,0
1677266200266,9,GetListOfUser,200,OK,Thread Group 1-29,text,true,,1743,172,3,3,https://reqres.in/api/users?page=2,8,0,0
1677266200071,382,Register,200,OK,Thread Group 1-30,text,true,,695,253,2,2,https://reqres.in/api/register,382,0,24
1677266200454,9,Get,200,OK,Thread Group 1-30,text,true,,986,167,2,2,https://reqres.in/api/users/4,9,0,0
1677266200464,7,GetListOfUser,200,OK,Thread Group 1-30,text,true,,1753,172,3,3,https://reqres.in/api/users?page=2,7,0,0
1677266200271,387,Register,200,OK,Thread Group 1-31,text,true,,691,253,2,2,https://reqres.in/api/register,387,0,25
1677266200659,9,Get,200,OK,Thread Group 1-31,text,true,,990,167,3,3,https://reqres.in/api/users/4,9,0,0
1677266200669,11,GetListOfUser,200,OK,Thread Group 1-31,text,true,,1753,172,3,3,https://reqres.in/api/users?page=2,11,0,0
1677266200469,376,Register,200,OK,Thread Group 1-32,text,true,,691,253,2,2,https://reqres.in/api/register,376,0,18
1677266200846,8,Get,200,OK,Thread Group 1-32,text,true,,986,167,2,2,https://reqres.in/api/users/4,8,0,0
1677266200856,9,GetListOfUser,200,OK,Thread Group 1-32,text,true,,1745,172,2,2,https://reqres.in/api/users?page=2,9,0,0
1677266200668,381,Register,200,OK,Thread Group 1-33,text,true,,689,253,2,2,https://reqres.in/api/register,381,0,22
1677266201050,13,Get,200,OK,Thread Group 1-33,text,true,,984,167,2,2,https://reqres.in/api/users/4,13,0,0
1677266201065,8,GetListOfUser,200,OK,Thread Group 1-33,text,true,,1747,172,3,3,https://reqres.in/api/users?page=2,8,0,0
1677266200869,385,Register,200,OK,Thread Group 1-34,text,true,,695,253,2,2,https://reqres.in/api/register,385,0,26
